"filename","concentration"
"20241004_FJ_MM_1ng_A_1_Slot1-22_1_2088",1
"20241004_FJ_MM_1ng_A_2_Slot1-22_1_2089",1
"20241004_FJ_MM_1ng_A_3_Slot1-22_1_2090",1
"20241004_FJ_MM_1ng_A_4_Slot1-22_1_2091",1
"20241004_FJ_MM_1ng_A_5_Slot1-22_1_2092",1
"20241004_FJ_MM_1ng_B_1_Slot1-23_1_2094",0.7
"20241004_FJ_MM_1ng_B_2_Slot1-23_1_2095",0.7
"20241004_FJ_MM_1ng_B_3_Slot1-23_1_2096",0.7
"20241004_FJ_MM_1ng_B_4_Slot1-23_1_2097",0.7
"20241004_FJ_MM_1ng_B_5_Slot1-23_1_2098",0.7
"20241004_FJ_MM_1ng_C_1_Slot1-24_1_2100",0.4
"20241004_FJ_MM_1ng_C_2_Slot1-24_1_2101",0.4
"20241004_FJ_MM_1ng_C_3_Slot1-24_1_2102",0.4
"20241004_FJ_MM_1ng_C_4_Slot1-24_1_2103",0.4
"20241004_FJ_MM_1ng_C_5_Slot1-24_1_2104",0.4
"20241004_FJ_MM_1ng_D_1_Slot1-25_1_2106",0.1
"20241004_FJ_MM_1ng_D_2_Slot1-25_1_2107",0.1
"20241004_FJ_MM_1ng_D_3_Slot1-25_1_2108",0.1
"20241004_FJ_MM_1ng_D_4_Slot1-25_1_2109",0.1
"20241004_FJ_MM_1ng_D_5_Slot1-25_1_2110",0.1
"20241004_FJ_MM_1ng_E_1_Slot1-26_1_2112",0
"20241004_FJ_MM_1ng_E_2_Slot1-26_1_2113",0
"20241004_FJ_MM_1ng_E_3_Slot1-26_1_2114",0
"20241004_FJ_MM_1ng_E_4_Slot1-26_1_2115",0
"20241004_FJ_MM_1ng_E_5_Slot1-26_1_2116",0
